Table label,Generated?,Source type,Comparison status,Notes
tab_data_card,Yes,static metadata,static_from_draft,"Metadata-style table encoded from manuscript and data inventory, not a statistical estimate."
tab_sample_design,Yes,static metadata,static_from_draft,"Metadata-style table encoded from manuscript and data inventory, not a statistical estimate."
tab_descriptive_stats,Yes,recomputed,recomputed_minor_difference,semantic cells matched=8/20; row matches=4/6; token fallback=20/54
tab_stats_overview,Yes,recomputed,recomputed_major_difference,No comparable semantic numeric cells found.; token fallback=21/43
tab_transmission_results,Yes,recomputed,recomputed_major_difference,No comparable semantic numeric cells found.; token fallback=15/25
tab_structural_breaks,Yes,recomputed,recomputed_major_difference,Insufficient structured rows for semantic comparison.; token fallback=8/10
tab_vulnerability_indicators,Yes,recomputed,recomputed_match,semantic cells matched=4/4; row matches=2/2; token fallback=8/8; vulnerability summary semantic match to final LaTeX=1.000; semantic cells matched=4/4; row matches=2/2
tab_weather_extended_models,Yes,recomputed,recomputed_match,semantic cells matched=32/32; row matches=8/8; token fallback=45/45; world-volatility coefficient aligns with draft reference within tolerance: 0.954.; volatility source: data/processed/final_series/all_series_common_window_volatility_imputed.csv
tab_hazard_screening,Yes,recomputed,recomputed_major_difference,No comparable semantic numeric cells found.; token fallback=17/30
tab_hazard_models,Yes,recomputed,recomputed_major_difference,No comparable semantic numeric cells found.; token fallback=15/26
tab_mean_shifts,Yes,recomputed,recomputed_major_difference,Insufficient structured rows for semantic comparison.; token fallback=6/7
tab_supp_granger,Yes,recomputed,recomputed_major_difference,No comparable semantic numeric cells found.; token fallback=33/33
tab_supp_disaster_granger,Yes,recomputed,recomputed_match,semantic cells matched=8/8; row matches=2/2; token fallback=20/20; rebuilt directly from reports/v2/tables/table_disaster_causality.csv.
